Water_Body,pH,Turbidity_NTU,Temperature_C,Dissolved_Oxygen_mgL,Conductivity_uS,Bacteria_CFU_100mL,Potability,Organic_Carbon_mgL,Ammonia_mgL,Nitrates_mgL,Nitrites_mgL,Sulfate_mgL,Solids_ppm
Reservoir,7.17,33.39,32.8,7.41,1046.6,2059.0,0,14.74,4.46,13.21,1.08,214.9,7378.85
Ocean,6.48,6.96,20.8,7.86,1371.4,2020.0,1,10.33,1.94,24.45,2.4,147.62,13168.72
Pond,7.74,15.36,14.9,7.57,1167.0,905.0,0,10.56,4.75,0.12,2.48,128.78,15241.67
Ocean,7.88,14.41,12.9,11.05,1103.9,204.0,0,5.38,3.93,19.43,0.83,406.36,43000.37
Ocean,8.65,24.47,7.7,10.5,417.2,2919.0,0,19.2,2.64,17.43,0.44,236.7,25021.53
River,6.9,48.23,22.8,8.9,453.8,4872.0,0,1.58,1.2,44.06,1.2,366.17,3938.29
Pond,6.93,19.86,10.5,5.26,1204.7,4966.0,1,6.42,4.71,46.39,1.53,114.06,20257.08
Pond,6.74,43.01,32.1,9.86,765.1,711.0,1,7.74,0.9,11.62,2.17,280.26,43445.58
Pond,8.35,20.33,33.2,4.39,325.5,1705.0,1,16.51,0.51,21.44,2.09,134.01,45986.96
Ocean,7.28,16.52,18.9,6.0,114.5,4318.0,1,1.83,4.93,42.65,1.85,360.36,24749.07
Reservoir,7.66,5.04,16.1,8.11,103.8,324.0,0,9.91,0.65,44.22,0.18,471.96,13441.03
Pond,7.12,35.65,17.7,7.96,611.7,4286.0,0,15.75,4.5,16.14,2.33,359.29,19814.41
Ocean,6.47,14.79,14.7,4.81,767.7,3893.0,0,6.47,1.13,23.59,0.55,80.8,33024.39
River,6.31,35.2,32.6,10.46,94.4,3886.0,0,2.34,3.8,38.07,0.07,374.16,41824.02
Reservoir,8.6,18.59,33.4,3.36,275.0,62.0,1,5.96,1.33,33.07,2.1,363.12,15509.93
River,6.8,1.28,16.7,4.14,754.3,732.0,1,18.23,1.01,48.73,0.22,97.6,23872.63
Reservoir,8.82,8.32,31.2,8.3,820.4,884.0,0,6.5,2.25,48.04,1.26,476.88,48447.61
Ocean,8.84,38.99,23.8,7.06,698.8,2060.0,0,2.08,1.45,43.02,2.4,297.15,24719.81
Lake,7.44,11.23,30.1,3.26,1258.7,1584.0,1,15.12,0.9,6.6,0.81,394.2,24765.64
Reservoir,8.88,11.89,20.6,11.98,456.4,4484.0,0,16.15,1.25,15.18,2.82,412.67,45055.29
River,6.09,17.0,8.5,11.96,1399.8,1847.0,1,0.61,3.21,38.53,1.01,96.98,1373.05
Ocean,6.27,9.64,18.0,6.31,823.4,2462.0,1,5.18,4.03,6.86,1.0,18.54,29386.75
Reservoir,6.73,27.16,20.2,3.12,571.0,851.0,0,15.25,0.82,1.66,1.85,10.83,45183.43
Lake,6.63,25.95,26.2,8.62,1126.2,2771.0,1,19.21,3.2,48.98,2.38,392.26,35814.8
Lake,6.76,31.77,28.5,4.08,1060.9,4650.0,1,7.89,4.36,4.19,2.57,205.8,27184.19
Pond,7.36,48.36,8.4,11.63,1473.8,1959.0,0,16.89,4.69,11.95,0.82,464.97,14787.17
Pond,6.19,6.42,24.5,6.88,331.1,3699.0,0,5.59,0.92,21.75,1.27,326.72,27809.3
River,7.67,19.53,20.0,10.18,122.6,678.0,0,4.16,0.86,42.51,2.05,332.94,21361.04
